epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.902,1.51301,9.23643,1.67481,0.23784,0.41176,0.23763,0.12229,1.81719,3.89529,2.42138,0.000654321,0.000654321,0.000654321
2,59.6541,1.57242,2.81149,1.77974,0.01679,0.23529,0.02796,0.00703,2.53315,64.2464,3.67386,0.00129483,0.00129483,0.00129483
3,85.5771,1.75451,2.53079,1.80918,0.14837,0.39216,0.12436,0.04837,2.38281,21.7578,4.2669,0.00190894,0.00190894,0.00190894
4,111.324,1.713,2.30215,1.77045,0.15655,0.15686,0.07375,0.03877,2.86555,25.0476,3.20745,0.0018812,0.0018812,0.0018812
5,137.212,1.59655,2.20683,1.66205,0.23618,0.37255,0.20497,0.09539,2.20509,11.4193,2.86665,0.0018416,0.0018416,0.0018416
6,162.954,1.55466,2.11873,1.68171,0.47045,0.24406,0.23646,0.12785,1.86039,3.82123,2.22668,0.001802,0.001802,0.001802
7,189.074,1.51163,1.9933,1.65157,0.56583,0.43137,0.40233,0.21281,1.80718,2.44132,2.36249,0.0017624,0.0017624,0.0017624
8,215.027,1.52106,2.03124,1.63343,0.42705,0.4902,0.35846,0.21361,1.55976,2.18978,1.86443,0.0017228,0.0017228,0.0017228
9,240.715,1.45815,1.92751,1.61634,0.52126,0.57652,0.57161,0.31026,1.52718,2.25771,1.94786,0.0016832,0.0016832,0.0016832
10,266.735,1.42225,1.93059,1.61334,0.60648,0.47059,0.47471,0.28505,1.53116,1.90788,1.95914,0.0016436,0.0016436,0.0016436
11,292.382,1.39087,1.77942,1.5499,0.48134,0.47059,0.43544,0.25445,1.48703,1.86002,1.86986,0.001604,0.001604,0.001604
12,318.38,1.32873,1.76039,1.51785,0.52563,0.4902,0.51551,0.31297,1.33222,1.77639,1.74594,0.0015644,0.0015644,0.0015644
